2016-01-18	B437 	4	4	2	0	10	8	2
2016-01-18	B452 	14	2	0	0	16	16	0
2016-01-18	B465 	8	0	0	0	8	4	4
2016-01-18	B467 	3	1	0	0	4	4	0
2016-01-18	B470 	39	29	0	0	68	55	13
2016-01-18	B490 	33	199	0	0	232	232	0
2016-01-18	B492 	41	2	0	0	43	43	0
2016-01-18	B498 	3	83	0	0	86	86	0
2016-01-18	B500 	153	13	4	0	170	161	9
2016-01-18	B501 	49	8	0	0	57	nop	nop
2016-01-18	B505 	4	0	0	0	4	nop	nop
2016-01-18	B507 	8	0	0	0	8	8	0
2016-01-18	B517 	55	9	0	0	64	61	3
2016-01-18	B540 	1	0	0	0	1	1	0
2016-01-18	B565 	15	0	0	0	15	15	0
2016-01-18	B569 	2	6	0	0	8	8	0
2016-01-18	B571 	6	1	0	0	7	7	0
2016-01-18	B581 	6	0	0	0	6	6	0
2016-01-18	*** did run ***
2016-01-19	A100 	926	25	5	2	958	914	64
2016-01-19	A125 	97	3	3	2	105	108	5
2016-01-19	A130 	12	0	0	0	12	nop	nop
2016-01-19	A131 	84	0	0	0	84	89	3
2016-01-19	A140 	15	0	0	0	15	nop	nop
2016-01-19	A160 	2	1	0	0	3	nop	nop
2016-01-19	A168 	8	0	0	0	8	nop	nop
2016-01-19	A198 	3	0	0	0	3	3	0
2016-01-19	A208 	56	7	2	0	65	65	0
2016-01-19	A242 	1	0	0	0	1	1	0
2016-01-19	A243 	2	1	1	0	4	4	0
2016-01-19	A246 	1	0	0	0	1	1	0
2016-01-19	A248 	4	0	0	0	4	4	0
2016-01-19	A284 	1	0	1	0	2	nop	nop
2016-01-19	A296 	31	4	0	2	37	35	2
2016-01-19	A300 	23	2	2	0	27	28	0
2016-01-19	A310 	6	2	0	0	8	8	0
2016-01-19	A332 	102	5	1	7	115	23	2
2016-01-19	A334 	45	3	0	0	48	48	0
2016-01-19	A342 	259	14	4	3	280	279	7
2016-01-19	A351 	47	4	0	0	51	47	4
2016-01-19	A366 	10	0	0	0	10	10	0
2016-01-19	B400 	233	12	2	0	247	305	15
2016-01-19	B401 	72	0	0	0	72	nop	nop
2016-01-19	B410 	60	7	2	0	69	89	4
2016-01-19	B415 	13	0	0	0	13	13	0
2016-01-19	B418 	8	3	0	0	11	11	0
2016-01-19	B420 	39	0	0	0	39	39	0
2016-01-19	B425 	18	0	0	0	18	18	0
2016-01-19	B430 	1	1	1	1	4	2	2
